ticker,name,close,volume,traded_value
098460,고영,26200,42412407,1105247703400
086520,에코프로,93000,8010476,734662663600
466100,클로봇,41200,12507302,566377957625
125490,한라캐스트,15570,25550038,394024458540
108490,로보티즈,231000,1212700,293126584500
298380,에이비엘바이오,196800,1501902,289671618700
0096D0,미래에셋비전스팩9호,3335,59833928,285838211022
030530,원익홀딩스,24950,10167637,264836561275
214450,파마리서치,398500,578672,235763801500
196170,알테오젠,542000,356210,194064593000
277810,레인보우로보틱스,425500,413064,181921429750
486990,노타,44250,3674627,169464122700
087010,펩트론,317500,494556,156980423250
247540,에코프로비엠,158900,937384,149792185550
101170,우림피티에스,9770,15575359,148988267015
413630,씨피시스템,4870,27856896,139859057496
319400,현대무벡스,9660,12564093,126020191010
005290,동진쎄미켐,40150,3076708,120684586425
058610,에스피지,62700,1830412,114977753950
226950,올릭스,136000,831049,113201799600
040300,YTN,4435,24139322,110717689265
456160,지투지바이오,83000,1303839,108141322450
141080,리가켐바이오,195800,534472,105036043850
437730,삼현,39950,2430307,99327146300
376900,로킷헬스케어,75700,1233768,96025428450
090710,휴림로봇,5290,16730481,93178645610
0015N0,아로마티카,20500,4300007,90326003845
950160,코오롱티슈진,87300,919483,79443348750
459550,알트,5260,13329290,75326018735
290650,엘앤씨바이오,61500,1191532,72973170750
090360,로보스타,70400,971758,71073442350
476060,온코닉테라퓨틱스,19860,3460786,69995416010
469610,이노테크,37500,1797899,69501150775
468530,프로티나,80900,852778,68624229100
448900,한국피아이엠,60000,1129535,66297395700
347850,디앤디파마텍,93200,690922,64947076800
424870,이뮨온시아,10070,6169990,63212573975
234030,싸이닉솔루션,9860,6208041,62551034395
214370,케어젠,81900,716826,61302121650
095340,ISC,111100,536861,60028145100
309710,아이티켐,46850,1369192,59487736550
356890,싸이버원,4570,12482727,58797264147
058470,리노공업,66600,810603,54931044900
382150,온코크로스,13550,3836729,51282767015
220260,켐트로스,5250,9940354,50048832208
317830,에스피시스템스,11120,4246520,48885968335
039030,이오테크닉스,273000,179003,48868812750
287840,인투셀,65600,741166,47994391850
129890,앱코,1260,36982976,47138372353
388210,씨엠티엑스,94100,505879,47117591300
