ticker,name,close,volume,traded_value
478340,나라스페이스테크놀로지,44350,11769483,445401093225
0007C0,아크릴,64600,1799145,124090538500
319400,현대무벡스,12960,7686594,97356749810
0009K0,에임드바이오,73400,1078052,79897391100
347850,디앤디파마텍,90600,769043,71583303500
330350,위더스제약,10370,6091222,59861134275
086520,에코프로,103400,504928,51476631600
030530,원익홀딩스,35250,1300360,45893166725
466100,클로봇,62400,568112,35891609300
140410,메지온,109100,286276,32481571600
196170,알테오젠,420000,71794,30161225250
108490,로보티즈,292000,93783,27559911000
226950,올릭스,133900,200146,27274051400
298380,에이비엘바이오,184400,136680,25528884200
0015S0,페스카로,26700,927678,24256243800
087010,펩트론,250000,92778,23399519250
000250,삼천당제약,238000,89630,21594833500
083650,비에이치아이,58400,359150,20726338750
376900,로킷헬스케어,75200,235698,18368040350
058610,에스피지,80500,214941,17587383900
468530,프로티나,93500,169377,16337974350
448900,한국피아이엠,62100,244034,15499808550
247540,에코프로비엠,167000,87775,14488898500
306040,에스제이그룹,6620,2025983,14012003575
464490,쿼드메디슨,19350,684080,13806106950
370090,퓨런티어,16280,807135,13448256975
125490,한라캐스트,17810,690993,12617555660
098460,고영,24600,499202,12329062575
347700,스피어,13210,930068,12213298170
476060,온코닉테라퓨틱스,18990,631914,12175390590
064260,다날,6830,1705094,11911567430
290650,엘앤씨바이오,70400,159788,11366481950
456160,지투지바이오,74000,142114,10698123250
287840,인투셀,61200,170100,10640659350
090710,휴림로봇,5660,1784320,10184573050
039200,오스코텍,54100,184272,10179493850
298830,슈어소프트테크,7460,1259961,9416616710
067290,JW신약,1801,5201741,9247919877
486990,노타,38300,234936,9186724425
277810,레인보우로보틱스,456500,18788,8624217500
003310,대주산업,2350,3600692,8217564206
049630,재영솔루텍,3005,2674804,8203799157
456070,이엔셀,17950,439672,8188057895
397030,에이프릴바이오,44650,180609,8151568250
290690,소룩스,4510,1663686,7601526596
950250,테라뷰,10820,719869,7561076630
038500,삼표시멘트,4575,1617478,7517275321
145020,휴젤,244500,29509,7194439750
950160,코오롱티슈진,74000,90814,6885293600
388210,씨엠티엑스,87200,79725,6812205450
