symbol,total_return,mdd,win_rate,sharpe,trades
459550,0.0,0.0,,,0
098460,-0.002829230454258993,-0.2961856558581871,0.3333333333333333,0.19559665070187401,19
486990,0.0,0.0,,,0
424870,0.5179001380061811,-0.16451941465682318,0.4,1.8286903104667476,11
040300,0.010828257569935731,-0.2606849725925072,0.3333333333333333,0.19754624983221367,13
413630,0.3473178257285742,-0.2634268105764308,0.3,0.859335770305767,20
125490,1.1331758429302707,-0.12829204058197785,1.0,3.477615354426649,5
090710,0.7703564049063206,-0.10986391960212105,0.5,2.4252466490006928,8
469610,0.0,0.0,,,0
234030,-0.16847677781513995,-0.3099878456646876,0.25,-0.9706690155662132,8
456160,0.1146882663746003,-0.66716242059224,0.5,1.2998008342011893,4
229200,-0.26042808818103336,-0.3900736459265888,0.4166666666666667,-0.31545257207374666,121
476060,0.27201882014245077,-0.6524372502103497,0.5,0.9590068035218791,13
030530,2.6538859052177077,-0.21550832792003138,0.4,2.2328254986559886,30
376900,2.818723037310421,-0.10782285046356799,0.3333333333333333,3.6090758978877178,7
347850,2.8510228355278024,-0.20062177288750382,0.625,2.331844555260283,16
086520,0.5856388077818018,-0.24653769370649248,0.4444444444444444,1.2940983976110378,18
058610,0.5300925085450519,-0.1714408893806425,0.4,1.262011994551534,21
298380,0.1595693167816028,-0.3656485021241136,0.6153846153846154,0.5714543879079119,27
101170,-0.03613887566778921,-0.28192655664274235,0.3333333333333333,0.10852005217383287,19
382150,-0.24684152895262904,-0.5067134515288607,0.4,-0.2925828971572882,20
437730,1.590178041856061,-0.18621819942435824,0.625,1.911629267479714,17
412350,-0.15540930273700002,-0.15540930273700004,,-3.8491337702515316,1
319400,0.3880741216863159,-0.27583780191457075,0.3333333333333333,1.0414297425092867,19
388210,0.0,0.0,,,0
466100,0.24279682963617127,-0.3071220388652799,0.5,0.7275515521498962,21
356890,-0.433428230087524,-0.43342823008752396,0.2,-1.338883714887102,20
263800,-0.05968992060450017,-0.09447134802187973,,-1.9474186576490482,1
950160,0.33816503589170127,-0.465331385352989,0.3333333333333333,0.8827480306637199,25
448900,-0.1330321276199188,-0.5948571414733522,0.18181818181818182,0.16493506145583722,23
