regime,trades,win_rate,avg_trade_return,median_trade_return,total_pnl
Bull,130,0.4461538461538462,0.05892156724656869,-0.008630050816511574,90411725.10600016
Bear,83,0.3855421686746988,0.019146183826575444,-0.014823348949955328,15217671.657000089
Sideways,29,0.3103448275862069,-0.0285000098755359,-0.03913101948218994,-5807511.161999968
Unknown,3,0.3333333333333333,0.007278473839755314,-0.006369304549897405,201357.5700000046
