symbol,entry_date,exit_date,pnl,trade_return,regime
049630,2025-02-10,2025-02-19,413949.30300000013,0.04145854145854147,Sideways
049630,2025-02-27,2025-03-04,-79058.49599999885,-0.0076364313652448135,Bull
049630,2025-04-15,2025-04-24,1490315.7360000017,0.1457062937062939,Bear
049630,2025-06-05,2025-06-13,-194139.8859999987,-0.0166413721718461,Bull
049630,2025-07-31,2025-08-19,378341.5810000013,0.03312585472779659,Bull
049630,2025-08-27,2025-09-01,-1024316.9969999996,-0.08719329451036766,Bull
049630,2025-09-22,2025-09-30,-46280.5279999988,-0.004335243211121319,Bull
049630,2025-10-10,2025-10-17,146688.00000000192,0.01386128060361904,Bull
049630,2025-10-20,2025-10-30,919569.160000002,0.08609259416579135,Bull
049630,2025-11-04,2025-11-24,3181091.631000001,0.2754302776541473,Bull
038500,2025-02-19,2025-02-28,-240645.0,-0.02410564119424879,Bull
038500,2025-04-18,2025-04-28,-157260.42499999888,-0.01621005576701768,Bear
038500,2025-06-04,2025-06-13,-238138.87499999857,-0.025064303954904735,Bull
038500,2025-06-24,2025-06-27,-243557.8199999988,-0.026413953019457485,Bull
038500,2025-07-01,2025-07-02,-99708.8099999981,-0.01115398363104764,Bull
038500,2025-07-03,2025-07-07,-312085.99999999953,-0.03546758119928847,Bull
038500,2025-07-11,2025-07-16,-158692.78499999916,-0.018783968325252632,Bull
038500,2025-07-29,2025-08-07,205494.87000000116,0.024894267409237614,Bull
038500,2025-09-08,2025-09-17,96058.30500000142,0.011407994990084713,Bull
125490,2025-09-16,2025-09-30,561330.0900000014,0.05625114185425484,Bull
125490,2025-10-14,2025-10-27,4928643.840000002,0.46978476069385183,Bull
125490,2025-11-24,2025-12-11,8194778.300000003,0.5335369987155704,Bull
424870,2025-07-10,2025-07-23,155476.24000000153,0.01557245571330094,Bull
424870,2025-09-03,2025-09-19,665807.2200000017,0.06596629177274356,Bull
424870,2025-09-30,2025-10-14,-72044.69999999864,-0.006727869287110867,Bull
424870,2025-10-15,2025-10-17,-501578.69999999943,-0.04736172917991095,Bull
424870,2025-10-20,2025-10-21,-529322.0399999982,-0.05269016697588109,Bull
040300,2025-02-24,2025-02-28,-318041.9549999989,-0.031859479103573486,Bull
040300,2025-03-11,2025-03-21,135668.7500000014,0.014098804421385214,Bear
040300,2025-03-26,2025-03-28,-541968.9999999987,-0.0557825408124808,Bear
040300,2025-04-01,2025-04-07,-777868.739999999,-0.08516483516483506,Bear
040300,2025-08-22,2025-08-26,-391408.2549999994,-0.04705829287769081,Bull
040300,2025-10-24,2025-10-31,-185757.99999999872,-0.02353761346567086,Bull
040300,2025-11-05,2025-11-14,2001697.695000001,0.26091650285198686,Bull
098460,2025-02-05,2025-02-20,489154.4000000009,0.0490234484616508,Sideways
098460,2025-04-29,2025-05-15,1568624.640000001,0.15050264137485242,Bear
098460,2025-05-16,2025-05-20,-826301.2499999985,-0.0692092288017584,Bear
098460,2025-06-20,2025-06-27,-162669.30000000057,-0.01469984560893657,Bull
098460,2025-08-07,2025-08-18,-271332.5999999986,-0.025002793816353012,Bull
098460,2025-09-09,2025-09-17,-55058.84999999901,-0.0052277819268109595,Bull
098460,2025-10-01,2025-10-17,182322.08000000138,0.017484404764001878,Bull
098460,2025-10-20,2025-10-23,-849682.5999999986,-0.08041244469815886,Bull
098460,2025-11-06,2025-11-17,-245878.819999999,-0.02542049786947736,Bull
098460,2025-11-28,2025-12-09,1120126.0000000002,0.1194626874140059,Bull
413630,2025-02-26,2025-03-06,-665940.5599999984,-0.06670362604428524,Bull
413630,2025-04-29,2025-05-09,-259709.96799999892,-0.027995159688357835,Bear
413630,2025-06-10,2025-06-19,70710.53400000103,0.007875685957877855,Bull
413630,2025-07-07,2025-07-10,-413846.6359999991,-0.045939881014507786,Bull
413630,2025-07-21,2025-08-13,1635345.4640000013,0.19111718606303463,Bull
413630,2025-08-26,2025-09-02,-92211.36599999855,-0.009088602339046247,Bull
