date,open,high,low,close,volume,foreign_net_buy
2025-07-07,10730.0,11110.0,10690.0,11030.0,83236.0,0.0
2025-07-08,10790.0,11040.0,10750.0,10830.0,74737.0,0.0
2025-07-09,10940.0,10940.0,10400.0,10690.0,121054.0,0.0
2025-07-10,10740.0,10800.0,10440.0,10500.0,89669.0,0.0
2025-07-11,10630.0,11120.0,10410.0,10710.0,176677.0,0.0
2025-07-14,10900.0,11450.0,10770.0,10800.0,137987.0,0.0
2025-07-15,10800.0,10850.0,10520.0,10850.0,80576.0,0.0
2025-07-16,10850.0,10890.0,10540.0,10610.0,67865.0,0.0
2025-07-17,11210.0,12210.0,11090.0,11480.0,787587.0,0.0
2025-07-18,11560.0,11600.0,11120.0,11320.0,126038.0,0.0
2025-07-21,11320.0,11320.0,10750.0,10890.0,76141.0,0.0
2025-07-22,10730.0,10910.0,10460.0,10480.0,110257.0,0.0
2025-07-23,10600.0,10630.0,9800.0,10180.0,78874.0,0.0
2025-07-24,10100.0,10260.0,9900.0,9980.0,109941.0,0.0
2025-07-25,9980.0,10030.0,9810.0,9850.0,61983.0,0.0
2025-07-28,9850.0,9930.0,9620.0,9650.0,47052.0,0.0
2025-07-29,9610.0,9750.0,9500.0,9650.0,58266.0,0.0
2025-07-30,9780.0,9780.0,9590.0,9590.0,38735.0,0.0
2025-07-31,9540.0,9670.0,9520.0,9610.0,41129.0,0.0
2025-08-01,9410.0,9490.0,9030.0,9050.0,93873.0,0.0
2025-08-04,9600.0,10340.0,9550.0,9550.0,326259.0,0.0
2025-08-05,9490.0,9690.0,9370.0,9410.0,69731.0,0.0
2025-08-06,9370.0,9500.0,9300.0,9410.0,33335.0,0.0
2025-08-07,9410.0,9510.0,9340.0,9360.0,47890.0,0.0
2025-08-08,9320.0,9530.0,9250.0,9280.0,42027.0,0.0
2025-08-11,9250.0,9350.0,9090.0,9090.0,42006.0,0.0
2025-08-12,9090.0,9600.0,9090.0,9150.0,60092.0,0.0
2025-08-13,9210.0,9300.0,9090.0,9110.0,33012.0,0.0
2025-08-14,9290.0,9580.0,9230.0,9330.0,91820.0,0.0
2025-08-18,9360.0,9490.0,8920.0,9000.0,47242.0,0.0
2025-08-19,8980.0,9060.0,8850.0,8880.0,52149.0,0.0
2025-08-20,8720.0,8870.0,8200.0,8640.0,78875.0,0.0
2025-08-21,8570.0,8900.0,8480.0,8560.0,52058.0,0.0
2025-08-22,8440.0,8700.0,8400.0,8480.0,46529.0,0.0
2025-08-25,8600.0,9080.0,8600.0,9060.0,75766.0,0.0
2025-08-26,8900.0,9200.0,8800.0,9050.0,44734.0,0.0
