date,open,high,low,close,volume,foreign_net_buy
2025-11-07,50300.0,58800.0,49350.0,58800.0,6178280.0,-17906.0
2025-11-10,76300.0,76400.0,73600.0,76400.0,351757.0,504.0
2025-11-11,84000.0,85000.0,65100.0,67100.0,10862619.0,798.0
2025-11-12,71200.0,71600.0,59000.0,59900.0,3245691.0,2268.0
2025-11-13,61000.0,62300.0,55100.0,56600.0,2156704.0,-2759.0
2025-11-14,54500.0,55300.0,41750.0,42800.0,1808920.0,44338.0
2025-11-17,43300.0,44900.0,39000.0,40950.0,1335040.0,-31004.0
2025-11-18,39350.0,43200.0,37350.0,37350.0,1318125.0,-12218.0
2025-11-19,36650.0,39500.0,35850.0,36250.0,779513.0,-223.0
2025-11-20,36500.0,41500.0,36500.0,37800.0,1810743.0,47803.0
2025-11-21,38350.0,41350.0,33900.0,33900.0,1451472.0,-47246.0
2025-11-24,29200.0,31900.0,26700.0,27800.0,2508113.0,-62517.0
2025-11-25,28050.0,30500.0,27750.0,28200.0,1585587.0,-405.0
2025-11-26,28500.0,36650.0,28200.0,36650.0,5803777.0,28555.0
2025-11-27,37800.0,41550.0,36450.0,39700.0,5540028.0,-11592.0
2025-11-28,40050.0,40550.0,36050.0,36200.0,1052702.0,-17701.0
2025-12-01,36950.0,40800.0,36350.0,37500.0,1797899.0,8317.0
