date,open,high,low,close,volume,foreign_net_buy
2025-07-07,10080.0,11890.0,7770.0,7960.0,61807676.0,0.0
2025-07-08,7740.0,10340.0,7430.0,10340.0,46172279.0,0.0
2025-07-09,10590.0,12460.0,9870.0,10670.0,50517466.0,0.0
2025-07-10,10880.0,11630.0,10490.0,10750.0,15667673.0,0.0
2025-07-11,11050.0,13670.0,10840.0,13000.0,42912704.0,0.0
2025-07-14,13370.0,15240.0,12910.0,13550.0,29005648.0,0.0
2025-07-15,13640.0,13660.0,12520.0,13030.0,9670797.0,0.0
2025-07-16,13520.0,14270.0,12610.0,12760.0,7488255.0,0.0
2025-07-17,12380.0,12700.0,11300.0,11460.0,3995987.0,0.0
2025-07-18,11870.0,12210.0,10840.0,11060.0,4551725.0,0.0
2025-07-21,10870.0,12920.0,10870.0,11950.0,15727113.0,0.0
2025-07-22,12010.0,12020.0,10900.0,11000.0,2764761.0,0.0
2025-07-23,10880.0,11450.0,10560.0,11000.0,2976859.0,0.0
2025-07-24,11350.0,12470.0,11100.0,11280.0,8164834.0,0.0
2025-07-25,11360.0,11540.0,10640.0,10660.0,1803218.0,0.0
2025-07-28,10550.0,10870.0,10020.0,10150.0,1332987.0,0.0
2025-07-29,10180.0,10610.0,9970.0,9980.0,1195585.0,0.0
2025-07-30,10050.0,10470.0,9930.0,10300.0,1918116.0,0.0
2025-07-31,10410.0,10550.0,9300.0,9320.0,1490280.0,0.0
2025-08-01,9280.0,9280.0,8620.0,8670.0,862624.0,0.0
2025-08-04,8620.0,9330.0,8620.0,8910.0,689408.0,0.0
2025-08-05,9060.0,9380.0,8810.0,8810.0,543591.0,0.0
2025-08-06,8900.0,8950.0,8570.0,8620.0,421009.0,0.0
2025-08-07,8390.0,8790.0,8010.0,8570.0,1657402.0,0.0
2025-08-08,8570.0,8930.0,8310.0,8480.0,1010667.0,0.0
2025-08-11,8480.0,8620.0,8190.0,8220.0,449354.0,0.0
2025-08-12,8230.0,9050.0,8150.0,8290.0,2081185.0,0.0
2025-08-13,8450.0,8650.0,8100.0,8120.0,517121.0,0.0
2025-08-14,8170.0,8170.0,7800.0,7810.0,703067.0,0.0
2025-08-18,7810.0,7890.0,7560.0,7680.0,390901.0,0.0
2025-08-19,7640.0,7820.0,7490.0,7690.0,298950.0,0.0
2025-08-20,7550.0,7690.0,7250.0,7500.0,380274.0,0.0
2025-08-21,7530.0,7690.0,7400.0,7400.0,224254.0,0.0
2025-08-22,7400.0,7810.0,7400.0,7580.0,355590.0,0.0
2025-08-25,7610.0,7790.0,7610.0,7750.0,238488.0,0.0
2025-08-26,7750.0,7890.0,7550.0,7890.0,328851.0,0.0
2025-08-27,7900.0,7900.0,7610.0,7820.0,255739.0,0.0
2025-08-28,7690.0,7950.0,7600.0,7820.0,189376.0,0.0
2025-08-29,7860.0,7930.0,7600.0,7600.0,177281.0,0.0
2025-09-01,7480.0,8120.0,7310.0,7640.0,481142.0,0.0
2025-09-02,7790.0,7790.0,7390.0,7520.0,177438.0,0.0
2025-09-03,7440.0,7700.0,7440.0,7570.0,156985.0,0.0
2025-09-04,7650.0,8470.0,7570.0,8250.0,1624944.0,0.0
2025-09-05,8410.0,8410.0,7970.0,7990.0,590802.0,0.0
2025-09-08,8000.0,8200.0,7830.0,7870.0,232573.0,0.0
2025-09-09,7980.0,8410.0,7870.0,8330.0,754438.0,0.0
2025-09-10,8340.0,8600.0,8100.0,8430.0,720706.0,0.0
2025-09-11,8500.0,8860.0,8350.0,8380.0,943076.0,0.0
2025-09-12,8500.0,10170.0,8470.0,9750.0,19166431.0,0.0
2025-09-15,9830.0,10370.0,9380.0,10010.0,8214406.0,0.0
2025-09-16,10050.0,10420.0,9850.0,10030.0,4553026.0,0.0
2025-09-17,9880.0,10150.0,9480.0,9860.0,2153258.0,0.0
2025-09-18,10050.0,10560.0,9900.0,10160.0,5001431.0,0.0
2025-09-19,10370.0,10660.0,9680.0,9680.0,2267402.0,0.0
2025-09-22,9590.0,10030.0,9510.0,9830.0,1054682.0,0.0
2025-09-23,10000.0,10350.0,9630.0,10320.0,3083421.0,0.0
2025-09-24,10550.0,11080.0,10080.0,10200.0,6607173.0,0.0
2025-09-25,10190.0,10370.0,9440.0,9620.0,1478092.0,0.0
2025-09-26,9500.0,9730.0,8920.0,8960.0,913217.0,0.0
2025-09-29,8960.0,9350.0,8960.0,9230.0,472222.0,0.0
2025-09-30,9320.0,9680.0,9020.0,9020.0,534846.0,0.0
2025-10-01,9090.0,9720.0,9090.0,9450.0,1072288.0,0.0
2025-10-02,9790.0,10700.0,9690.0,9890.0,7391114.0,0.0
2025-10-10,10300.0,10300.0,9510.0,9560.0,1764984.0,0.0
2025-10-13,9100.0,9250.0,8940.0,8990.0,873324.0,0.0
2025-10-14,9130.0,9470.0,8350.0,8420.0,1244004.0,0.0
2025-10-15,8420.0,8700.0,8370.0,8700.0,486703.0,0.0
2025-10-16,8590.0,8820.0,8310.0,8600.0,513192.0,0.0
2025-10-17,8510.0,8660.0,8110.0,8110.0,580112.0,0.0
2025-10-20,8130.0,8550.0,8130.0,8290.0,256977.0,0.0
2025-10-21,8370.0,8620.0,8200.0,8210.0,525121.0,0.0
2025-10-22,8170.0,8170.0,7800.0,8030.0,497464.0,0.0
2025-10-23,7900.0,8050.0,7770.0,7860.0,277714.0,0.0
2025-10-24,8030.0,8160.0,7920.0,8030.0,268260.0,0.0
2025-10-27,8180.0,8290.0,8030.0,8100.0,277393.0,0.0
2025-10-28,8100.0,8230.0,7980.0,8080.0,220110.0,0.0
2025-10-29,8180.0,8180.0,7820.0,7930.0,328521.0,0.0
2025-10-30,7940.0,7970.0,7610.0,7670.0,416869.0,0.0
2025-10-31,7670.0,7760.0,7510.0,7550.0,288488.0,0.0
2025-11-03,7550.0,8860.0,7500.0,8270.0,3483153.0,0.0
2025-11-04,8210.0,8340.0,8000.0,8060.0,457120.0,72698.0
2025-11-05,8050.0,8050.0,7310.0,7660.0,534789.0,-86205.0
2025-11-06,7720.0,8320.0,7720.0,8050.0,501723.0,97491.0
2025-11-07,8050.0,10460.0,7870.0,10460.0,22467678.0,-248034.0
2025-11-10,10840.0,11740.0,10460.0,10790.0,21192867.0,165889.0
2025-11-11,11290.0,11480.0,10640.0,10840.0,8780131.0,-43414.0
2025-11-12,10990.0,11900.0,10700.0,11040.0,13176934.0,127041.0
2025-11-13,11160.0,11570.0,10820.0,11550.0,7968819.0,-89251.0
2025-11-14,10920.0,11190.0,10480.0,10480.0,2832441.0,-91507.0
2025-11-17,10540.0,10790.0,9900.0,10030.0,2497575.0,131888.0
2025-11-18,10160.0,10400.0,9450.0,9470.0,2389389.0,-16840.0
2025-11-19,9520.0,9880.0,9150.0,9370.0,1445435.0,17282.0
2025-11-20,9700.0,10070.0,9540.0,9780.0,3042956.0,-10474.0
2025-11-21,9010.0,9660.0,8950.0,9020.0,1388291.0,927.0
2025-11-24,9240.0,9500.0,8830.0,8890.0,1221672.0,-59345.0
2025-11-25,9130.0,9700.0,8890.0,9480.0,3332397.0,-17927.0
2025-11-26,9580.0,9890.0,9210.0,9310.0,1326574.0,-122614.0
2025-11-27,9400.0,9540.0,9000.0,9000.0,1121577.0,-78858.0
2025-11-28,9120.0,9620.0,9100.0,9430.0,1659394.0,205443.0
2025-12-01,9730.0,10490.0,9620.0,9860.0,6208041.0,-196086.0
