date,open,high,low,close,volume,foreign_net_buy
2025-08-20,7840.0,8480.0,5800.0,5920.0,67557589.0,0.0
2025-08-21,5670.0,5700.0,4995.0,5060.0,11158841.0,0.0
2025-08-22,4980.0,5310.0,4975.0,5220.0,5935302.0,0.0
2025-08-25,5210.0,5560.0,5000.0,5070.0,7963137.0,0.0
2025-08-26,5090.0,5140.0,4760.0,4805.0,3134765.0,0.0
2025-08-27,4850.0,5260.0,4845.0,4890.0,6194317.0,0.0
2025-08-28,5020.0,5130.0,4860.0,4880.0,3555178.0,0.0
2025-08-29,4880.0,4920.0,4560.0,4600.0,2203931.0,0.0
2025-09-01,4610.0,4685.0,4355.0,4370.0,1550855.0,0.0
2025-09-02,4390.0,4975.0,4380.0,4630.0,6466738.0,0.0
2025-09-03,5000.0,5490.0,4855.0,4955.0,19132993.0,0.0
2025-09-04,5000.0,5660.0,4960.0,5420.0,14763439.0,0.0
2025-09-05,5470.0,5510.0,5260.0,5410.0,4673443.0,0.0
2025-09-08,5400.0,5670.0,5330.0,5500.0,5942546.0,0.0
2025-09-09,5570.0,5830.0,5500.0,5510.0,7269730.0,0.0
2025-09-10,5520.0,5700.0,5350.0,5610.0,3801004.0,0.0
2025-09-11,5660.0,5660.0,5370.0,5370.0,2183343.0,0.0
2025-09-12,5420.0,5470.0,5090.0,5110.0,1648359.0,0.0
2025-09-15,5160.0,6640.0,5160.0,6640.0,26419784.0,0.0
2025-09-16,6660.0,8320.0,6380.0,7670.0,73093448.0,0.0
2025-09-17,7710.0,8480.0,7560.0,7610.0,22339059.0,0.0
2025-09-18,7760.0,7900.0,7030.0,7330.0,10060864.0,0.0
2025-09-19,7320.0,7600.0,6890.0,6920.0,7477563.0,0.0
2025-09-22,6870.0,7110.0,6530.0,7040.0,14634001.0,0.0
2025-09-23,7380.0,8970.0,7130.0,8660.0,59163187.0,0.0
2025-09-24,8720.0,9400.0,8530.0,8900.0,30640700.0,0.0
2025-09-25,9100.0,9430.0,8550.0,8720.0,16868449.0,0.0
2025-09-26,8720.0,9000.0,8370.0,8500.0,10545135.0,0.0
2025-09-29,8700.0,8980.0,8510.0,8850.0,10468363.0,0.0
2025-09-30,8720.0,8770.0,8070.0,8130.0,6540832.0,0.0
2025-10-01,8160.0,8550.0,7910.0,8230.0,7566028.0,0.0
2025-10-02,8400.0,8430.0,7700.0,7700.0,4712041.0,0.0
2025-10-10,7730.0,8820.0,7680.0,8520.0,16206981.0,0.0
2025-10-13,8200.0,8910.0,8140.0,8800.0,11732121.0,0.0
2025-10-14,9020.0,9780.0,8400.0,8420.0,20735562.0,0.0
2025-10-15,8800.0,10940.0,8690.0,10940.0,56246465.0,0.0
2025-10-16,11300.0,12050.0,10810.0,11530.0,39369879.0,0.0
2025-10-17,11300.0,12250.0,11050.0,11400.0,15869532.0,0.0
2025-10-20,11620.0,13590.0,11360.0,12840.0,40286284.0,0.0
2025-10-21,13100.0,13190.0,12350.0,12460.0,10202616.0,0.0
2025-10-22,12630.0,13670.0,12120.0,12660.0,15706558.0,0.0
2025-10-23,12530.0,14190.0,12350.0,13350.0,26688841.0,0.0
2025-10-24,13510.0,13880.0,13160.0,13180.0,6456016.0,0.0
2025-10-27,13350.0,13600.0,12700.0,12790.0,4233188.0,0.0
2025-10-28,12960.0,13800.0,12660.0,12730.0,10008319.0,0.0
2025-10-29,12880.0,13290.0,12730.0,12800.0,5170418.0,0.0
2025-10-30,12900.0,13130.0,11850.0,12100.0,4698083.0,0.0
2025-10-31,12450.0,12770.0,11590.0,11820.0,5186348.0,0.0
2025-11-03,11850.0,12800.0,11650.0,12170.0,5920503.0,0.0
2025-11-04,12170.0,12170.0,11250.0,11520.0,3090500.0,-234384.0
2025-11-05,11210.0,11330.0,10340.0,10650.0,2972272.0,325245.0
2025-11-06,10950.0,11200.0,10100.0,10250.0,2189922.0,93902.0
2025-11-07,9890.0,10330.0,9730.0,10030.0,1874862.0,107964.0
2025-11-10,10200.0,10590.0,9770.0,10320.0,1978766.0,-63704.0
2025-11-11,10380.0,10650.0,9880.0,10090.0,1511316.0,-20310.0
2025-11-12,10080.0,10150.0,9670.0,9780.0,1314693.0,128028.0
2025-11-13,9760.0,9860.0,9380.0,9740.0,1519141.0,64925.0
2025-11-14,9430.0,9640.0,9340.0,9420.0,927156.0,79532.0
2025-11-17,9700.0,9880.0,9170.0,9260.0,1004874.0,-22322.0
2025-11-18,9130.0,9280.0,8600.0,8810.0,1431660.0,22744.0
2025-11-19,9000.0,10390.0,8600.0,9740.0,14969404.0,-935283.0
2025-11-20,9760.0,10420.0,9650.0,9790.0,7794361.0,-105543.0
2025-11-21,9380.0,10700.0,9340.0,10040.0,10743255.0,126187.0
2025-11-24,10190.0,11250.0,10040.0,11200.0,14016816.0,-168116.0
2025-11-25,11200.0,11850.0,11070.0,11520.0,7045993.0,11548.0
2025-11-26,11420.0,11910.0,10700.0,10900.0,3955320.0,-110361.0
2025-11-27,11070.0,13140.0,10910.0,12520.0,27010024.0,532182.0
2025-11-28,12900.0,14450.0,12580.0,13970.0,29711312.0,736462.0
2025-12-01,14310.0,16370.0,14120.0,15570.0,25550038.0,143794.0
