date,open,high,low,close,volume,foreign_net_buy
2025-05-19,5600.0,8300.0,5500.0,7500.0,199182296.0,0.0
2025-05-20,7150.0,7430.0,6330.0,6880.0,22466796.0,0.0
2025-05-21,7200.0,7460.0,6760.0,7130.0,16775760.0,0.0
2025-05-22,6980.0,7060.0,6520.0,6620.0,6702778.0,0.0
2025-05-23,6510.0,6550.0,5840.0,5880.0,4674476.0,0.0
2025-05-26,6070.0,6450.0,5920.0,6100.0,6812829.0,0.0
2025-05-27,6360.0,6990.0,6330.0,6520.0,22125937.0,0.0
2025-05-28,7050.0,7080.0,6460.0,6600.0,7425303.0,0.0
2025-05-29,6600.0,6900.0,6450.0,6780.0,8605028.0,0.0
2025-05-30,7000.0,7140.0,6480.0,6510.0,5990964.0,0.0
2025-06-02,6320.0,6720.0,6100.0,6380.0,3256571.0,0.0
2025-06-04,6470.0,6490.0,6060.0,6100.0,1863133.0,0.0
2025-06-05,6010.0,6110.0,5870.0,5900.0,1724322.0,0.0
2025-06-09,5930.0,6020.0,5620.0,5710.0,1359500.0,0.0
2025-06-10,5760.0,5960.0,5750.0,5910.0,1516032.0,0.0
2025-06-11,5900.0,6010.0,5680.0,5950.0,1138052.0,0.0
2025-06-12,5950.0,5990.0,5800.0,5810.0,1040581.0,0.0
2025-06-13,5850.0,5870.0,5400.0,5520.0,1011399.0,0.0
2025-06-16,5380.0,5460.0,5240.0,5290.0,728795.0,0.0
2025-06-17,5340.0,5620.0,5280.0,5410.0,823418.0,0.0
2025-06-18,5320.0,5510.0,5270.0,5290.0,646145.0,0.0
2025-06-19,5230.0,5260.0,4970.0,4990.0,980158.0,0.0
2025-06-20,4915.0,5310.0,4835.0,5100.0,1949901.0,0.0
2025-06-23,4920.0,4950.0,4840.0,4865.0,553849.0,0.0
2025-06-24,4940.0,5100.0,4900.0,4925.0,721286.0,0.0
2025-06-25,4965.0,5190.0,4965.0,5100.0,1015490.0,0.0
2025-06-26,5080.0,5090.0,4870.0,4950.0,558243.0,0.0
2025-06-27,5000.0,5050.0,4850.0,4855.0,397654.0,0.0
2025-06-30,4860.0,4890.0,4590.0,4675.0,490553.0,0.0
2025-07-01,4630.0,4700.0,4625.0,4655.0,359706.0,0.0
2025-07-02,4630.0,4700.0,4455.0,4685.0,567604.0,0.0
2025-07-03,4685.0,4955.0,4675.0,4905.0,622101.0,0.0
2025-07-04,5000.0,5000.0,4720.0,4765.0,387140.0,0.0
2025-07-07,4745.0,4755.0,4535.0,4540.0,413666.0,0.0
2025-07-08,4550.0,4680.0,4545.0,4610.0,238951.0,0.0
2025-07-09,4795.0,4935.0,4685.0,4770.0,641035.0,0.0
2025-07-10,4980.0,6090.0,4885.0,5700.0,16145266.0,0.0
2025-07-11,5680.0,5730.0,5450.0,5600.0,2260238.0,0.0
2025-07-14,6100.0,6250.0,5500.0,5620.0,4743315.0,0.0
2025-07-15,5940.0,6070.0,5730.0,5880.0,4042420.0,0.0
2025-07-16,5840.0,6340.0,5720.0,6300.0,6070122.0,0.0
2025-07-17,6160.0,6590.0,6060.0,6360.0,6435552.0,0.0
2025-07-18,6430.0,6460.0,6200.0,6300.0,1635194.0,0.0
2025-07-21,6310.0,6320.0,5950.0,5980.0,1304927.0,0.0
2025-07-22,5950.0,6090.0,5650.0,5960.0,1203893.0,0.0
2025-07-23,5900.0,5960.0,5680.0,5740.0,700012.0,0.0
2025-07-24,5780.0,5870.0,5640.0,5640.0,555760.0,0.0
2025-07-25,5580.0,5660.0,5500.0,5580.0,450055.0,0.0
2025-07-28,5850.0,5930.0,5620.0,5620.0,786994.0,0.0
2025-07-29,5720.0,5840.0,5500.0,5800.0,564117.0,0.0
2025-07-30,5760.0,5800.0,5630.0,5630.0,418914.0,0.0
2025-07-31,5680.0,5700.0,5550.0,5670.0,385301.0,0.0
2025-08-01,5580.0,5670.0,5330.0,5350.0,536207.0,0.0
2025-08-04,5300.0,5410.0,5210.0,5330.0,202252.0,0.0
2025-08-05,5550.0,5550.0,5300.0,5330.0,312314.0,0.0
2025-08-06,5290.0,5320.0,5140.0,5300.0,266785.0,0.0
2025-08-07,5290.0,5290.0,5200.0,5210.0,287267.0,0.0
2025-08-08,5180.0,5250.0,5060.0,5080.0,354435.0,0.0
2025-08-11,5100.0,5220.0,5020.0,5160.0,274080.0,0.0
2025-08-12,5290.0,5310.0,5110.0,5110.0,243571.0,0.0
2025-08-13,5190.0,5210.0,5060.0,5130.0,155147.0,0.0
2025-08-14,5240.0,5750.0,5220.0,5370.0,1936459.0,0.0
2025-08-18,5330.0,5540.0,5180.0,5450.0,510811.0,0.0
2025-08-19,5210.0,5270.0,5100.0,5130.0,811958.0,0.0
2025-08-20,4995.0,5070.0,4850.0,4855.0,1120533.0,0.0
2025-08-21,4850.0,4910.0,4670.0,4700.0,1185137.0,0.0
2025-08-22,4660.0,5040.0,4660.0,4895.0,1198170.0,0.0
2025-08-25,4905.0,5490.0,4905.0,5300.0,2719740.0,0.0
2025-08-26,5200.0,5370.0,5180.0,5210.0,571717.0,0.0
2025-08-27,5220.0,5260.0,5140.0,5240.0,407264.0,0.0
2025-08-28,5240.0,5250.0,5110.0,5130.0,469523.0,0.0
2025-08-29,5150.0,5340.0,5150.0,5290.0,650556.0,0.0
2025-09-01,5330.0,5350.0,5160.0,5240.0,594241.0,0.0
2025-09-02,5200.0,5390.0,5200.0,5330.0,680228.0,0.0
2025-09-03,5330.0,5650.0,5210.0,5580.0,2156988.0,0.0
2025-09-04,5580.0,5720.0,5520.0,5650.0,1329058.0,0.0
2025-09-05,5650.0,5860.0,5600.0,5770.0,1428018.0,0.0
2025-09-08,5890.0,5930.0,5760.0,5770.0,1542960.0,0.0
2025-09-09,5790.0,5800.0,5680.0,5780.0,781180.0,0.0
2025-09-10,5830.0,5840.0,5720.0,5760.0,780704.0,0.0
2025-09-11,5770.0,5850.0,5730.0,5750.0,729360.0,0.0
2025-09-12,5750.0,6090.0,5700.0,5990.0,2416389.0,0.0
2025-09-15,6030.0,6080.0,5870.0,5980.0,945293.0,0.0
2025-09-16,6000.0,6080.0,5800.0,5940.0,1115746.0,0.0
2025-09-17,5960.0,5980.0,5810.0,5840.0,722545.0,0.0
2025-09-18,5890.0,6130.0,5830.0,5890.0,1537065.0,0.0
2025-09-19,5870.0,6040.0,5780.0,5890.0,1047973.0,0.0
2025-09-22,5960.0,6010.0,5830.0,6000.0,838974.0,0.0
2025-09-23,6000.0,6040.0,5800.0,5980.0,1087780.0,0.0
2025-09-24,6000.0,6000.0,5660.0,5700.0,1082233.0,0.0
2025-09-25,5690.0,6100.0,5620.0,5750.0,1664612.0,0.0
2025-09-26,5700.0,5700.0,5400.0,5450.0,1192110.0,0.0
2025-09-29,5450.0,5610.0,5410.0,5560.0,460531.0,0.0
2025-09-30,5510.0,6600.0,5510.0,6470.0,28281994.0,0.0
2025-10-01,6330.0,6350.0,6020.0,6110.0,5480597.0,0.0
2025-10-02,6160.0,6250.0,5920.0,5960.0,3283894.0,0.0
2025-10-10,6120.0,6400.0,5980.0,6300.0,5676812.0,0.0
2025-10-13,6200.0,6500.0,6100.0,6150.0,4833144.0,0.0
2025-10-14,6160.0,6410.0,5970.0,6370.0,3707087.0,0.0
2025-10-15,6300.0,6820.0,6260.0,6630.0,11888883.0,0.0
2025-10-16,6600.0,6610.0,6270.0,6370.0,2452961.0,0.0
2025-10-17,6390.0,6540.0,6140.0,6160.0,2798442.0,0.0
2025-10-20,6300.0,6700.0,6160.0,6220.0,5558096.0,0.0
2025-10-21,6300.0,6330.0,5980.0,6010.0,2513229.0,0.0
2025-10-22,5980.0,6110.0,5830.0,5930.0,1418465.0,0.0
2025-10-23,5900.0,6010.0,5760.0,5930.0,1102382.0,0.0
2025-10-24,5970.0,5970.0,5760.0,5850.0,940710.0,0.0
2025-10-27,5850.0,6150.0,5770.0,6130.0,1549590.0,0.0
2025-10-28,6190.0,6190.0,5840.0,6000.0,1321198.0,0.0
2025-10-29,6000.0,6020.0,5850.0,5870.0,850753.0,0.0
2025-10-30,5900.0,6000.0,5750.0,5810.0,927827.0,0.0
2025-10-31,5820.0,5960.0,5780.0,5840.0,858807.0,0.0
2025-11-03,5840.0,6070.0,5750.0,6030.0,1580835.0,0.0
2025-11-04,6030.0,6110.0,5860.0,5970.0,1486583.0,-15479.0
2025-11-05,6090.0,6250.0,5650.0,5830.0,1931209.0,-262654.0
2025-11-06,5850.0,5980.0,5740.0,5750.0,1126260.0,-27491.0
2025-11-07,5670.0,5760.0,5450.0,5570.0,826220.0,-19851.0
2025-11-10,5660.0,5660.0,5530.0,5550.0,524997.0,-34352.0
2025-11-11,5530.0,5630.0,5250.0,5280.0,1069187.0,8214.0
2025-11-12,5370.0,5750.0,5350.0,5720.0,1250643.0,165072.0
2025-11-13,5720.0,6950.0,5670.0,6190.0,34596147.0,917100.0
2025-11-14,6280.0,6740.0,6200.0,6400.0,13994095.0,322877.0
2025-11-17,6540.0,7220.0,6450.0,6980.0,23945536.0,-213498.0
2025-11-18,6940.0,7460.0,6810.0,7180.0,15867366.0,315187.0
2025-11-19,7130.0,7410.0,6810.0,6940.0,5412691.0,312980.0
2025-11-20,6940.0,7380.0,6820.0,7240.0,6960687.0,59047.0
2025-11-21,7040.0,7450.0,7010.0,7130.0,4956272.0,-287753.0
2025-11-24,7250.0,7950.0,7050.0,7250.0,7927136.0,-168606.0
2025-11-25,7300.0,7920.0,7300.0,7500.0,7856374.0,120182.0
2025-11-26,7680.0,9090.0,7560.0,8770.0,38011896.0,351099.0
2025-11-27,8770.0,11280.0,8630.0,10840.0,39233565.0,723792.0
2025-11-28,10840.0,11050.0,10380.0,10830.0,10485871.0,-409356.0
2025-12-01,10780.0,10780.0,9970.0,10070.0,6169990.0,-104639.0
