date,open,high,low,close,volume,foreign_net_buy
2025-12-04,44000.0,44000.0,42000.0,44000.0,3793239.0,241767.0
2025-12-05,57200.0,57200.0,52400.0,57200.0,1548062.0,-5524.0
2025-12-08,54100.0,56800.0,47750.0,48550.0,8060417.0,-268325.0
2025-12-09,47650.0,52400.0,47500.0,50000.0,3709929.0,-1129.0
2025-12-10,49800.0,50700.0,46100.0,46600.0,1848223.0,-56037.0
2025-12-11,47100.0,48650.0,46150.0,46700.0,1714470.0,52079.0
2025-12-12,47500.0,59700.0,46350.0,55900.0,10441014.0,299197.0
2025-12-15,56500.0,72600.0,54800.0,70500.0,11408893.0,-77904.0
2025-12-16,70000.0,80200.0,67000.0,72400.0,12482920.0,-133105.0
2025-12-17,71600.0,76650.0,69800.0,75200.0,1476642.0,0.0
