date,open,high,low,close,volume,foreign_net_buy
2025-01-02,110400.0,110900.0,105000.0,105500.0,459369.0,0.0
2025-01-03,105600.0,115200.0,105600.0,113000.0,910881.0,0.0
2025-01-06,114100.0,118100.0,113000.0,117000.0,553990.0,0.0
2025-01-07,116900.0,119400.0,115300.0,116000.0,482373.0,0.0
2025-01-08,115300.0,121000.0,114700.0,120500.0,629605.0,0.0
2025-01-09,120300.0,131600.0,116600.0,131600.0,1001082.0,0.0
2025-01-10,125900.0,125900.0,120200.0,120200.0,808144.0,0.0
2025-01-13,119500.0,121800.0,118100.0,118100.0,382089.0,0.0
2025-01-14,119700.0,131000.0,119200.0,127300.0,1058155.0,0.0
2025-01-15,127600.0,136000.0,126700.0,129300.0,965131.0,0.0
2025-01-16,134700.0,136600.0,130900.0,131300.0,676789.0,0.0
2025-01-17,130000.0,134600.0,128100.0,130100.0,570430.0,0.0
2025-01-20,132500.0,139600.0,132300.0,138000.0,1315555.0,0.0
2025-01-21,135200.0,138500.0,123300.0,126100.0,1852672.0,0.0
2025-01-22,126800.0,132400.0,126800.0,130600.0,860437.0,0.0
2025-01-23,129300.0,133000.0,125800.0,131200.0,698157.0,0.0
2025-01-24,131200.0,133000.0,128600.0,129600.0,457720.0,0.0
2025-01-31,128000.0,133700.0,125900.0,131000.0,485819.0,0.0
2025-02-03,128200.0,128500.0,119000.0,119000.0,751464.0,0.0
2025-02-04,122100.0,126200.0,120200.0,120300.0,596140.0,0.0
2025-02-05,121100.0,125400.0,121100.0,123600.0,422903.0,0.0
2025-02-06,124200.0,126000.0,121400.0,122700.0,406803.0,0.0
2025-02-07,123400.0,130500.0,120800.0,121100.0,871007.0,0.0
2025-02-10,118600.0,121800.0,116800.0,120700.0,520316.0,0.0
2025-02-11,120900.0,124000.0,118600.0,120700.0,674615.0,0.0
2025-02-12,120600.0,123500.0,118500.0,121200.0,572381.0,0.0
2025-02-13,122800.0,134300.0,122700.0,131100.0,1977098.0,0.0
2025-02-14,129800.0,131400.0,125400.0,128000.0,948904.0,0.0
2025-02-17,128500.0,133700.0,127000.0,130600.0,936794.0,0.0
2025-02-18,131700.0,131700.0,128100.0,128400.0,506687.0,0.0
2025-02-19,128900.0,137400.0,128500.0,135200.0,1362738.0,0.0
2025-02-20,136600.0,140300.0,134100.0,135600.0,961534.0,0.0
2025-02-21,136700.0,139500.0,135300.0,137400.0,722478.0,0.0
2025-02-24,135800.0,141700.0,134400.0,140800.0,890021.0,0.0
2025-02-25,139500.0,139900.0,133100.0,133100.0,715115.0,0.0
2025-02-26,133000.0,141000.0,132700.0,138600.0,889786.0,0.0
2025-02-27,138600.0,139000.0,132800.0,134000.0,907540.0,0.0
2025-02-28,131200.0,131900.0,117000.0,119000.0,2490297.0,0.0
2025-03-04,117900.0,117900.0,111500.0,111900.0,1048865.0,0.0
2025-03-05,113100.0,115100.0,110700.0,112700.0,675537.0,0.0
2025-03-06,114600.0,118600.0,112700.0,112900.0,818758.0,0.0
2025-03-07,111300.0,117500.0,111300.0,116700.0,726487.0,0.0
2025-03-10,116800.0,123900.0,115500.0,123000.0,1004048.0,0.0
2025-03-11,117700.0,120400.0,117600.0,119000.0,609352.0,0.0
2025-03-12,120800.0,122100.0,119100.0,119400.0,542178.0,0.0
2025-03-13,121500.0,122200.0,115000.0,115600.0,866306.0,0.0
2025-03-14,115300.0,116300.0,111200.0,112500.0,685802.0,0.0
2025-03-17,113100.0,113700.0,110700.0,110800.0,526173.0,0.0
2025-03-18,111500.0,114100.0,110800.0,111300.0,542930.0,0.0
2025-03-19,111100.0,113400.0,110200.0,111900.0,466804.0,0.0
2025-03-20,114000.0,114400.0,112000.0,112900.0,546358.0,0.0
2025-03-21,112900.0,114300.0,108300.0,112000.0,740288.0,0.0
2025-03-24,113300.0,113300.0,107600.0,108300.0,407220.0,0.0
2025-03-25,109200.0,111100.0,107400.0,107500.0,313753.0,0.0
2025-03-26,108300.0,113100.0,107900.0,111400.0,482240.0,0.0
2025-03-27,109600.0,111000.0,108100.0,108200.0,220391.0,0.0
2025-03-28,108500.0,109300.0,103400.0,103500.0,427159.0,0.0
2025-03-31,100100.0,100900.0,95600.0,96200.0,730715.0,0.0
2025-04-01,97100.0,97800.0,94900.0,95700.0,553383.0,0.0
2025-04-02,96400.0,96800.0,90100.0,91300.0,634388.0,0.0
2025-04-03,87000.0,91900.0,87000.0,91100.0,484086.0,0.0
2025-04-04,89700.0,99800.0,89700.0,98100.0,878322.0,0.0
2025-04-07,94300.0,98700.0,92400.0,92600.0,472746.0,0.0
2025-04-08,95400.0,97100.0,93700.0,94800.0,370051.0,0.0
2025-04-09,93400.0,97400.0,92900.0,94700.0,504185.0,0.0
2025-04-10,102700.0,103700.0,99700.0,103500.0,832285.0,0.0
2025-04-11,100500.0,102500.0,98200.0,100300.0,378827.0,0.0
2025-04-14,100500.0,103600.0,100300.0,101800.0,306365.0,0.0
2025-04-15,101900.0,102200.0,99100.0,100000.0,257991.0,0.0
2025-04-16,100200.0,101700.0,96800.0,97400.0,242341.0,0.0
2025-04-17,97100.0,98900.0,96600.0,97500.0,323489.0,0.0
2025-04-18,97300.0,97300.0,95100.0,96500.0,184626.0,0.0
2025-04-21,95600.0,97700.0,94800.0,94900.0,161467.0,0.0
2025-04-22,94500.0,98000.0,93900.0,94600.0,198847.0,0.0
2025-04-23,96500.0,101400.0,96300.0,101200.0,432217.0,0.0
2025-04-24,102200.0,102700.0,99800.0,100800.0,233628.0,0.0
2025-04-25,102600.0,106300.0,100700.0,103500.0,364213.0,0.0
2025-04-28,105800.0,108900.0,104000.0,104500.0,378850.0,0.0
2025-04-29,105900.0,106500.0,99700.0,102400.0,613414.0,0.0
2025-04-30,102400.0,103100.0,100100.0,101500.0,465607.0,0.0
2025-05-02,101600.0,104800.0,99900.0,104500.0,371027.0,0.0
