date,open,high,low,close,volume,foreign_net_buy
2025-07-07,5000.0,5000.0,4945.0,4960.0,33132.0,0.0
2025-07-08,4965.0,5020.0,4925.0,5000.0,36931.0,0.0
2025-07-09,4990.0,5010.0,4955.0,4980.0,38765.0,0.0
2025-07-10,4995.0,4995.0,4955.0,4965.0,23424.0,0.0
2025-07-11,4980.0,5060.0,4950.0,5030.0,65361.0,0.0
2025-07-14,5030.0,5050.0,4955.0,5010.0,39364.0,0.0
2025-07-15,4975.0,5030.0,4955.0,5030.0,25948.0,0.0
2025-07-16,5000.0,5040.0,4960.0,5020.0,39644.0,0.0
2025-07-17,4995.0,5020.0,4945.0,4950.0,42473.0,0.0
2025-07-18,4950.0,5040.0,4925.0,5030.0,44987.0,0.0
2025-07-21,5010.0,5080.0,5010.0,5060.0,24569.0,0.0
2025-07-22,5040.0,5090.0,5020.0,5040.0,56098.0,0.0
2025-07-23,5050.0,5070.0,4980.0,5060.0,32611.0,0.0
2025-07-24,5060.0,5160.0,5050.0,5110.0,99471.0,0.0
2025-07-25,5110.0,5140.0,5060.0,5130.0,57319.0,0.0
2025-07-28,5160.0,5220.0,5100.0,5200.0,89058.0,0.0
2025-07-29,5150.0,5260.0,5130.0,5230.0,83403.0,0.0
2025-07-30,5220.0,5250.0,5170.0,5210.0,39388.0,0.0
2025-07-31,5250.0,5250.0,5100.0,5170.0,53547.0,0.0
2025-08-01,5160.0,5160.0,5010.0,5100.0,98519.0,0.0
2025-08-04,5120.0,5120.0,5060.0,5080.0,23360.0,0.0
2025-08-05,5080.0,5200.0,5080.0,5160.0,50891.0,0.0
2025-08-06,5160.0,5230.0,5120.0,5220.0,39351.0,0.0
2025-08-07,5250.0,5260.0,5140.0,5220.0,56543.0,0.0
2025-08-08,5210.0,5260.0,5200.0,5220.0,43743.0,0.0
2025-08-11,5210.0,5240.0,5180.0,5200.0,26609.0,0.0
2025-08-12,5200.0,5220.0,5140.0,5160.0,24458.0,0.0
2025-08-13,5170.0,5180.0,5100.0,5130.0,48420.0,0.0
2025-08-14,5100.0,5140.0,5080.0,5080.0,68459.0,0.0
2025-08-18,5040.0,5050.0,4985.0,5030.0,49648.0,0.0
2025-08-19,5010.0,5050.0,4980.0,5020.0,43291.0,0.0
2025-08-20,5010.0,5010.0,4875.0,4885.0,77684.0,0.0
2025-08-21,4905.0,4910.0,4870.0,4880.0,28355.0,0.0
2025-08-22,4900.0,5240.0,4845.0,4860.0,122231.0,0.0
2025-08-25,4870.0,4980.0,4870.0,4970.0,55024.0,0.0
2025-08-26,4950.0,5070.0,4945.0,5000.0,58764.0,0.0
2025-08-27,5010.0,5070.0,4985.0,5050.0,40217.0,0.0
2025-08-28,5040.0,5100.0,5020.0,5100.0,48330.0,0.0
2025-08-29,5100.0,5110.0,5030.0,5070.0,18207.0,0.0
2025-09-01,5070.0,5070.0,4970.0,4975.0,36600.0,0.0
2025-09-02,4935.0,5040.0,4935.0,5040.0,53900.0,0.0
2025-09-03,5010.0,5080.0,4975.0,5040.0,27362.0,0.0
2025-09-04,5050.0,5070.0,5020.0,5030.0,43538.0,0.0
