date,open,high,low,close,volume,foreign_net_buy
2025-01-02,664.0,673.0,662.0,669.0,71222.0,0.0
2025-01-03,673.0,680.0,666.0,674.0,224788.0,0.0
2025-01-06,675.0,680.0,670.0,680.0,141376.0,0.0
2025-01-07,680.0,688.0,673.0,674.0,190006.0,0.0
2025-01-08,674.0,677.0,665.0,665.0,162887.0,0.0
2025-01-09,670.0,670.0,655.0,659.0,518282.0,0.0
2025-01-10,655.0,665.0,654.0,664.0,194378.0,0.0
2025-01-13,661.0,664.0,646.0,649.0,224487.0,0.0
2025-01-14,649.0,656.0,644.0,646.0,90012.0,0.0
2025-01-15,646.0,654.0,643.0,645.0,147232.0,0.0
2025-01-16,645.0,649.0,643.0,646.0,133146.0,0.0
2025-01-17,642.0,659.0,642.0,651.0,312929.0,0.0
2025-01-20,653.0,658.0,648.0,648.0,187405.0,0.0
2025-01-21,646.0,653.0,643.0,648.0,133730.0,0.0
2025-01-22,653.0,654.0,644.0,654.0,227920.0,0.0
2025-01-23,657.0,703.0,637.0,644.0,1824240.0,0.0
2025-01-24,650.0,681.0,647.0,663.0,785848.0,0.0
2025-01-31,656.0,662.0,641.0,648.0,382045.0,0.0
2025-02-03,655.0,655.0,600.0,605.0,976897.0,0.0
2025-02-04,604.0,633.0,604.0,621.0,195640.0,0.0
2025-02-05,621.0,631.0,619.0,624.0,184873.0,0.0
2025-02-06,626.0,632.0,623.0,630.0,125178.0,0.0
2025-02-07,630.0,633.0,620.0,624.0,108863.0,0.0
2025-02-10,626.0,711.0,618.0,664.0,2496170.0,0.0
2025-02-11,666.0,674.0,651.0,664.0,319364.0,0.0
2025-02-12,665.0,800.0,664.0,702.0,20349759.0,0.0
2025-02-13,692.0,711.0,682.0,685.0,2475342.0,0.0
2025-02-14,690.0,705.0,681.0,685.0,746484.0,0.0
2025-02-17,679.0,695.0,676.0,682.0,521681.0,0.0
2025-02-18,682.0,695.0,681.0,682.0,447932.0,0.0
2025-02-19,693.0,711.0,683.0,698.0,1084079.0,0.0
2025-02-20,695.0,703.0,687.0,692.0,325736.0,0.0
2025-02-21,692.0,701.0,686.0,701.0,234266.0,0.0
2025-02-24,695.0,745.0,690.0,717.0,878934.0,0.0
2025-02-25,717.0,718.0,704.0,707.0,489254.0,0.0
2025-02-26,707.0,721.0,706.0,711.0,331827.0,0.0
2025-02-27,711.0,778.0,699.0,719.0,2835505.0,0.0
2025-02-28,708.0,716.0,699.0,701.0,571155.0,0.0
2025-03-04,701.0,707.0,690.0,704.0,318295.0,0.0
2025-03-05,704.0,743.0,700.0,731.0,952446.0,0.0
2025-03-06,731.0,741.0,720.0,729.0,424494.0,0.0
2025-03-07,729.0,760.0,715.0,721.0,392546.0,0.0
2025-03-10,714.0,730.0,706.0,715.0,219281.0,0.0
2025-03-11,710.0,713.0,696.0,710.0,399913.0,0.0
2025-03-12,728.0,728.0,708.0,708.0,259332.0,0.0
2025-03-13,706.0,716.0,698.0,706.0,222474.0,0.0
2025-03-14,707.0,717.0,703.0,714.0,220965.0,0.0
2025-03-17,706.0,716.0,700.0,702.0,379556.0,0.0
2025-03-18,702.0,709.0,686.0,698.0,304188.0,0.0
2025-03-19,698.0,700.0,685.0,688.0,174767.0,0.0
2025-03-20,688.0,688.0,670.0,673.0,513129.0,0.0
2025-03-21,671.0,682.0,665.0,679.0,164608.0,0.0
2025-03-24,679.0,682.0,671.0,676.0,109382.0,0.0
2025-03-25,677.0,682.0,659.0,660.0,331772.0,0.0
2025-03-26,660.0,662.0,651.0,651.0,305666.0,0.0
2025-03-27,652.0,664.0,642.0,646.0,357196.0,0.0
2025-03-28,648.0,648.0,637.0,639.0,235175.0,0.0
2025-03-31,635.0,638.0,622.0,625.0,299816.0,0.0
2025-04-01,627.0,652.0,627.0,642.0,236902.0,0.0
2025-04-02,680.0,747.0,660.0,668.0,7131536.0,0.0
2025-04-03,667.0,672.0,644.0,657.0,625998.0,0.0
2025-04-04,657.0,679.0,648.0,672.0,658723.0,0.0
2025-04-07,659.0,672.0,637.0,649.0,690043.0,0.0
2025-04-08,654.0,680.0,654.0,673.0,362428.0,0.0
2025-04-09,680.0,681.0,652.0,662.0,302517.0,0.0
2025-04-10,680.0,688.0,674.0,683.0,278131.0,0.0
2025-04-11,676.0,698.0,676.0,698.0,250943.0,0.0
2025-04-14,708.0,714.0,695.0,702.0,487775.0,0.0
2025-04-15,750.0,780.0,706.0,757.0,5847147.0,0.0
2025-04-16,750.0,817.0,740.0,800.0,3713642.0,0.0
2025-04-17,794.0,939.0,788.0,907.0,8636321.0,0.0
2025-04-18,910.0,933.0,880.0,915.0,2526241.0,0.0
2025-04-21,915.0,915.0,890.0,910.0,1232311.0,0.0
2025-04-22,902.0,949.0,890.0,926.0,1319526.0,0.0
2025-04-23,928.0,940.0,871.0,884.0,1859080.0,0.0
2025-04-24,884.0,891.0,848.0,861.0,1335411.0,0.0
2025-04-25,861.0,897.0,850.0,874.0,1144645.0,0.0
2025-04-28,874.0,881.0,831.0,845.0,647400.0,0.0
2025-04-29,844.0,859.0,840.0,858.0,546188.0,0.0
2025-04-30,850.0,886.0,850.0,869.0,913558.0,0.0
2025-05-02,867.0,872.0,852.0,855.0,359694.0,0.0
2025-05-07,855.0,898.0,854.0,895.0,557046.0,0.0
2025-05-08,900.0,912.0,883.0,912.0,290257.0,0.0
2025-05-09,910.0,914.0,890.0,904.0,455055.0,0.0
2025-05-12,904.0,959.0,883.0,906.0,562479.0,0.0
2025-05-13,909.0,920.0,896.0,900.0,351523.0,0.0
2025-05-14,899.0,920.0,893.0,898.0,288594.0,0.0
2025-05-15,898.0,900.0,863.0,868.0,629849.0,0.0
2025-05-16,869.0,875.0,848.0,861.0,746148.0,0.0
2025-05-19,861.0,890.0,852.0,864.0,265491.0,0.0
2025-05-20,861.0,890.0,861.0,890.0,430858.0,0.0
2025-05-21,888.0,909.0,871.0,877.0,374249.0,0.0
2025-05-22,877.0,886.0,868.0,873.0,168214.0,0.0
2025-05-23,871.0,929.0,860.0,893.0,622445.0,0.0
2025-05-26,890.0,891.0,874.0,877.0,268050.0,0.0
2025-05-27,881.0,969.0,831.0,846.0,3013094.0,0.0
2025-05-28,846.0,849.0,834.0,844.0,344643.0,0.0
2025-05-29,846.0,849.0,833.0,841.0,262871.0,0.0
2025-05-30,848.0,896.0,833.0,854.0,1174873.0,0.0
2025-06-02,864.0,877.0,847.0,861.0,575457.0,0.0
2025-06-04,858.0,870.0,850.0,861.0,366551.0,0.0
2025-06-05,856.0,910.0,856.0,885.0,3157622.0,0.0
2025-06-09,886.0,891.0,867.0,881.0,837091.0,0.0
2025-06-10,874.0,895.0,865.0,882.0,814373.0,0.0
2025-06-11,883.0,900.0,875.0,895.0,883006.0,0.0
2025-06-12,940.0,942.0,885.0,885.0,4946542.0,0.0
